"Title","Field1_Link","Year","Duration","Genre","Rating","Description","Director","Field5_Link","Field5"
"Judgment at Nuremberg","https://www.imdb.com/title/tt0055031/?ref_=adv_li_tt","(1961)","179 min","Drama, War","8.2","In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","Stanley Kramer","https://www.imdb.com/name/nm0006452/?ref_=adv_li_dr_0","Director:Stanley Kramer                 |     Stars:Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich"
"To Be or Not to Be","https://www.imdb.com/title/tt0035446/?ref_=adv_li_tt","(1942)","99 min","Comedy, War","8.2","During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","Ernst Lubitsch","https://www.imdb.com/name/nm0523932/?ref_=adv_li_dr_0","Director:Ernst Lubitsch                 |     Stars:Carole Lombard, Jack Benny, Robert Stack, Felix Bressart"
"Hacksaw Ridge","https://www.imdb.com/title/tt2119532/?ref_=adv_li_tt","(2016)","139 min","Biography, Drama, History","8.1","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.","Mel Gibson","https://www.imdb.com/name/nm0000154/?ref_=adv_li_dr_0","Director:Mel Gibson                 |     Stars:Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer"
"Hotel Rwanda","https://www.imdb.com/title/tt0395169/?ref_=adv_li_tt","(2004)","121 min","Biography, Drama, History","8.1","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Terry George","https://www.imdb.com/name/nm0313623/?ref_=adv_li_dr_0","Director:Terry George                 |     Stars:Don Cheadle, Sophie Okonedo, Joaquin Phoenix, Xolani Mali"
"Tae Guk Gi: The Brotherhood of War","https://www.imdb.com/title/tt0386064/?ref_=adv_li_tt","(2004)","140 min","Action, Drama, War","8.1","When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.","Je-kyu Kang","https://www.imdb.com/name/nm0437625/?ref_=adv_li_dr_0","Director:Je-kyu Kang                 |     Stars:Jang Dong-Gun, Won Bin, Eun-ju Lee, Hyeong-jin Kong"
"Underground","https://www.imdb.com/title/tt0114787/?ref_=adv_li_tt","(1995)","167 min","Comedy, Drama, Fantasy","8.1","A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.","Emir Kusturica","https://www.imdb.com/name/nm0001437/?ref_=adv_li_dr_0","Director:Emir Kusturica                 |     Stars:Predrag 'Miki' Manojlovic, Lazar Ristovski, Mirjana Jokovic, Slavko Stimac"
"Platoon","https://www.imdb.com/title/tt0091763/?ref_=adv_li_tt","(1986)","120 min","Drama, War","8.1","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.","Oliver Stone","https://www.imdb.com/name/nm0000231/?ref_=adv_li_dr_0","Director:Oliver Stone                 |     Stars:Charlie Sheen, Tom Berenger, Willem Dafoe, Keith David"
"The Deer Hunter","https://www.imdb.com/title/tt0077416/?ref_=adv_li_tt","(1978)","183 min","Drama, War","8.1","An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.","Michael Cimino","https://www.imdb.com/name/nm0001047/?ref_=adv_li_dr_0","Director:Michael Cimino                 |     Stars:Robert De Niro, Christopher Walken, John Cazale, John Savage"
"Barry Lyndon","https://www.imdb.com/title/tt0072684/?ref_=adv_li_tt","(1975)","185 min","Adventure, Drama, History","8.1","An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.","Stanley Kubrick","https://www.imdb.com/name/nm0000040/?ref_=adv_li_dr_0","Director:Stanley Kubrick                 |     Stars:Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger"
"The Battle of Algiers","https://www.imdb.com/title/tt0058946/?ref_=adv_li_tt","(1966)","121 min","Drama, War","8.1","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Gillo Pontecorvo","https://www.imdb.com/name/nm0690597/?ref_=adv_li_dr_0","Director:Gillo Pontecorvo                 |     Stars:Brahim Hadjadj, Jean Martin, Yacef Saadi, Samia Kerbash"
"Ivan's Childhood","https://www.imdb.com/title/tt0056111/?ref_=adv_li_tt","(1962)","84 min","Drama, War","8.1","During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines.","Andrei Tarkovsky","https://www.imdb.com/name/nm0001789/?ref_=adv_li_dr_0","Directors:Andrei Tarkovsky, Eduard Abalov                 |     Stars:Nikolay Burlyaev, Valentin Zubkov, Evgeniy Zharikov, Stepan Krylov"
"The Bridge on the River Kwai","https://www.imdb.com/title/tt0050212/?ref_=adv_li_tt","(1957)","161 min","Adventure, Drama, War","8.1","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.","David Lean","https://www.imdb.com/name/nm0000180/?ref_=adv_li_dr_0","Director:David Lean                 |     Stars:William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa"
"Gone with the Wind","https://www.imdb.com/title/tt0031381/?ref_=adv_li_tt","(1939)","238 min","Drama, History, Romance","8.1","A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.","Victor Fleming","https://www.imdb.com/name/nm0281808/?ref_=adv_li_dr_0","Directors:Victor Fleming, George Cukor, Sam Wood                 |     Stars:Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil"
"La Grande Illusion","https://www.imdb.com/title/tt0028950/?ref_=adv_li_tt","(1937)","107 min","Drama, War","8.1","During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.","Jean Renoir","https://www.imdb.com/name/nm0719756/?ref_=adv_li_dr_0","Director:Jean Renoir                 |     Stars:Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim"
"The General","https://www.imdb.com/title/tt0017925/?ref_=adv_li_tt","(1926)","67 min","Action, Adventure, Comedy","8.1","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.","Clyde Bruckman","https://www.imdb.com/name/nm0115669/?ref_=adv_li_dr_0","Directors:Clyde Bruckman, Buster Keaton                 |     Stars:Buster Keaton, Marion Mack, Glen Cavender, Jim Farley"
"The Imitation Game","https://www.imdb.com/title/tt2084970/?ref_=adv_li_tt","(2014)","114 min","Biography, Drama, Thriller","8.0","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.","Morten Tyldum","https://www.imdb.com/name/nm0878763/?ref_=adv_li_dr_0","Director:Morten Tyldum                 |     Stars:Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech"
"Nefes - Der Atemzug","https://www.imdb.com/title/tt1171701/?ref_=adv_li_tt","(2009)","Action, Drama, Thriller",,"8.0","Story of 40-man Turkish task force who must defend a relay station.","Levent Semerci","https://www.imdb.com/name/nm2896395/?ref_=adv_li_dr_0","Directors:Levent Semerci, Erdem Can                 |     Stars:Mete Horozoglu, Ilker Kizmaz, Baris Bagci, Özgür Eren Koç"
"Persepolis","https://www.imdb.com/title/tt0808417/?ref_=adv_li_tt","(2007)","96 min","Animation, Biography, Drama","8.0","A precocious and outspoken Iranian girl grows up during the Islamic Revolution.","Vincent Paronnaud","https://www.imdb.com/name/nm1749112/?ref_=adv_li_dr_0","Directors:Vincent Paronnaud, Marjane Satrapi                 |     Stars:Chiara Mastroianni, Catherine Deneuve, Gena Rowlands, Danielle Darrieux"
"Au Revoir les Enfants","https://www.imdb.com/title/tt0092593/?ref_=adv_li_tt","(1987)","104 min","Drama, War","8.0","A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret.","Louis Malle","https://www.imdb.com/name/nm0001501/?ref_=adv_li_dr_0","Director:Louis Malle                 |     Stars:Gaspard Manesse, Raphael Fejtö, Francine Racette, Stanislas Carré de Malberg"
"Kagemusha","https://www.imdb.com/title/tt0080979/?ref_=adv_li_tt","(1980)","162 min","Drama, History, War","8.0","A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.","Akira Kurosawa","https://www.imdb.com/name/nm0000041/?ref_=adv_li_dr_0","Director:Akira Kurosawa                 |     Stars:Tatsuya Nakadai, Tsutomu Yamazaki, Ken'ichi Hagiwara, Jinpachi Nezu"
"Doctor Zhivago","https://www.imdb.com/title/tt0059113/?ref_=adv_li_tt","(1965)","197 min","Drama, Romance, War","8.0","The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.","David Lean","https://www.imdb.com/name/nm0000180/?ref_=adv_li_dr_0","Director:David Lean                 |     Stars:Omar Sharif, Julie Christie, Geraldine Chaplin, Rod Steiger"
"Stalag 17","https://www.imdb.com/title/tt0046359/?ref_=adv_li_tt","(1953)","116 min","Comedy, Drama, War","8.0","When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer.","Billy Wilder","https://www.imdb.com/name/nm0000697/?ref_=adv_li_dr_0","Director:Billy Wilder                 |     Stars:William Holden, Don Taylor, Otto Preminger, Robert Strauss"
"The Best Years of Our Lives","https://www.imdb.com/title/tt0036868/?ref_=adv_li_tt","(1946)","170 min","Drama, Romance, War","8.0","Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.","William Wyler","https://www.imdb.com/name/nm0943758/?ref_=adv_li_dr_0","Director:William Wyler                 |     Stars:Myrna Loy, Dana Andrews, Fredric March, Teresa Wright"
